# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
703.8941 161.752150 2037.310692
703.9941 164.161563 2029.860239
704.0941 166.529054 2022.689212
704.1942 168.473636 2016.920238
704.2941 169.771285 2013.156990
704.3941 169.806994 2013.156990
704.4941 169.848797 2013.156990
704.5941 169.522678 2014.263320
704.6942 168.324665 2017.989122
704.7941 166.975704 2022.223684
704.8941 165.807788 2025.969082
704.9941 165.051981 2028.501754
705.0941 164.736252 2029.712491
705.1942 164.714645 2030.038839
705.2941 164.856889 2030.162058
705.3941 165.030526 2030.689239
705.4941 164.939688 2031.925091
705.5941 164.596978 2033.820139
705.6942 164.102495 2036.070899
705.7941 163.571025 2038.321595
705.8941 163.081609 2040.322520
705.9941 162.654407 2042.006473
706.0941 162.265333 2043.445860
706.1942 161.889383 2044.717876
706.2941 161.519549 2045.843351
706.3941 161.186871 2046.721578
706.4941 161.087305 2046.721578
706.5941 160.946865 2046.721578
706.6942 160.913449 2046.246973
706.7941 161.095250 2044.954225
706.8941 161.366310 2043.251739
706.9941 161.721380 2041.160463
707.0941 162.189882 2038.592012
707.1942 162.625155 2035.436809
707.2941 163.172236 2031.646697
707.3941 163.965312 2027.386408
707.4941 164.852764 2023.128023
707.5941 165.604914 2019.561756
707.6942 165.767614 2018.025000
707.7941 165.498188 2018.025000
707.8941 165.309556 2018.025000
707.9941 164.337500 2020.616600
708.0941 163.176143 2024.043492
708.1942 162.034539 2027.686392
708.2941 161.080606 2031.031812
708.3941 160.401265 2033.801487
708.4941 160.005702 2035.955252
708.5941 159.785838 2037.822109
708.6942 159.473929 2040.243558
708.7941 158.757489 2044.223264
708.8941 157.425439 2050.489772
708.9941 155.496938 2059.079512
709.0941 153.152265 2069.232658
709.1942 150.782942 2079.470922
709.2941 148.928340 2087.895936
709.3941 147.991528 2092.941951
709.4941 148.402006 2092.941951
709.5941 148.744513 2092.941951
709.6942 149.861163 2089.931972
709.7941 150.989705 2086.660683
709.8941 151.900207 2083.941185
709.9941 152.466829 2082.203258
710.0941 152.469480 2082.203258
710.1942 152.404104 2082.203258
710.2941 151.622790 2084.475230
710.3941 150.099605 2089.149074
710.4941 147.804371 2096.414841
710.5941 144.938166 2105.664769
710.6942 141.916764 2115.451584
710.7941 139.274593 2123.741419
710.8941 138.733722 2123.741419
710.9941 138.124632 2123.741419
711.0941 137.648654 2123.066534
711.1942 139.525492 2113.729222
711.2941 142.174627 2101.997517
711.3941 145.083619 2089.878546
711.4941 147.748003 2079.161877
711.5941 149.861022 2070.794554
711.6942 151.418567 2064.655778
711.7941 152.685876 2059.771192
711.8941 154.005889 2054.973309
711.9941 155.605448 2049.525893
712.0941 157.455642 2043.547730
712.1942 159.314515 2037.822109
712.2941 160.799999 2033.524912
712.3941 160.971033 2033.524912
712.4941 161.203766 2033.524912
712.5941 161.385135 2033.876101
712.6942 160.835337 2036.702847
712.7941 160.322995 2039.625021
712.8941 159.909050 2042.450776
712.9941 159.493958 2045.497705
713.0941 158.750181 2049.348243
713.1942 157.438198 2054.400783
713.2941 155.788053 2060.556945
713.3941 154.017823 2067.136778
713.4941 152.428711 2073.127970
713.5941 151.316613 2077.478324
713.6942 151.447586 2077.478324
713.7941 151.556506 2077.478324
713.8941 152.356396 2075.020701
713.9941 154.175350 2069.036141
714.0941 156.610317 2061.011841
714.1942 159.503300 2051.579285
714.2941 162.579285 2041.708427
714.3941 165.503296 2032.473158
714.4941 167.941315 2024.851550
714.5941 169.678347 2019.402717
714.6942 170.687340 2016.121918
714.7941 170.711391 2015.720377
714.8941 170.578522 2015.720377
714.9941 170.497398 2015.720377
715.0941 169.987958 2017.382676
715.1942 169.365797 2019.363717
715.2941 168.791925 2021.170669
715.3941 168.427357 2022.314329
715.4941 168.374111 2022.480565
715.5941 168.321175 2022.607554
715.6942 168.288534 2022.634772
715.7941 167.849214 2023.855379
715.8941 166.907230 2026.573283
715.9941 165.591535 2030.420939
716.0941 164.217151 2034.448600
716.1942 163.551029 2036.255377
716.2941 163.451262 2036.255377
716.3941 163.338861 2036.255377
716.4941 164.531718 2032.154137
716.5941 166.200886 2026.597714
716.6942 168.022284 2020.619610
716.7941 169.671359 2015.194517
716.8941 170.901133 2011.029802
716.9941 171.279997 2009.425663
717.0941 171.126574 2009.425663
717.1942 170.987799 2009.425663
717.2941 170.135807 2011.562017
